dataset,candidate_pool_condition,variant_name,baseline_label,feature_space,distance,n_pairs,top1,mrr,top3,top5,percentile_rank,mean_true_rank,median_true_rank,failures,retrieval_margin,reference_method,reference_top1,reference_mrr,delta_top1_vs_reference,delta_mrr_vs_reference
OXF,all_medon_candidates,single_stn_aperiodic_slope,STN aperiodic slope,aperiodic_slope,absolute_difference,30,0.06666666666666667,0.2061162156133552,0.2,0.3333333333333333,0.6344827586206898,11.6,11.0,28,-0.6573710536048161,MAGE_G_source_span_soft_v2D,0.6,0.720079365079365,-0.5333333333333333,-0.5139631494660097
OXF,all_medon_candidates,single_stn_beta_band_power,STN beta band power,stn_broad_beta_log_power,absolute_difference,30,0.13333333333333333,0.2991365486365486,0.3333333333333333,0.5,0.7482758620689656,8.3,5.5,26,-0.24861444099339358,MAGE_G_source_span_soft_v2D,0.6,0.720079365079365,-0.4666666666666667,-0.4209428164428164
OXF,all_medon_candidates,two_feature_beta_plus_slope,STN beta power + aperiodic slope,stn_broad_beta_log_power+aperiodic_slope,cosine,30,0.06666666666666667,0.22713081308669544,0.23333333333333334,0.4,0.6816091954022988,10.233333333333333,8.0,28,-0.5126750454141958,MAGE_G_source_span_soft_v2D,0.6,0.720079365079365,-0.5333333333333333,-0.4929485519926695
ds004998,all_medon_candidates,single_stn_aperiodic_slope,STN aperiodic slope,stn_aperiodic_slope,absolute_difference,34,0.058823529411764705,0.18809089487553363,0.14705882352941177,0.23529411764705882,0.6372549019607844,12.970588235294118,9.5,32,-0.7530747665759044,full_v2D,0.8235294117647058,0.8804271708683473,-0.7647058823529411,-0.6923362759928137
ds004998,all_medon_candidates,single_stn_beta_band_power,STN beta band power,stn_broad_beta_power,absolute_difference,34,0.11764705882352941,0.23300209082216003,0.20588235294117646,0.38235294117647056,0.6746880570409983,11.735294117647058,8.5,30,-0.7641715051476152,full_v2D,0.8235294117647058,0.8804271708683473,-0.7058823529411764,-0.6474250800461873
ds004998,all_medon_candidates,two_feature_beta_plus_slope,STN beta power + aperiodic slope,stn_broad_beta_power+stn_aperiodic_slope,cosine,34,0.17647058823529413,0.294484164437087,0.29411764705882354,0.4117647058823529,0.7130124777183602,10.470588235294118,8.0,28,-0.49091316777719457,full_v2D,0.8235294117647058,0.8804271708683473,-0.6470588235294117,-0.5859430064312603
ds004998,original_frozen_matched_pool,single_stn_aperiodic_slope,STN aperiodic slope,stn_aperiodic_slope,absolute_difference,34,0.3235294117647059,0.5187791783380018,0.5882352941176471,0.8235294117647058,0.6351158645276292,3.3529411764705883,2.5,23,-0.4679684683453439,full_v2A,0.8529411764705882,0.8958333333333333,-0.5294117647058822,-0.37705415499533146
ds004998,original_frozen_matched_pool,single_stn_beta_band_power,STN beta band power,stn_broad_beta_power,absolute_difference,34,0.38235294117647056,0.5947595704948645,0.7941176470588235,0.8823529411764706,0.7298573975044562,2.676470588235294,2.0,21,-0.4728907141269454,full_v2A,0.8529411764705882,0.8958333333333333,-0.47058823529411764,-0.30107376283846876
ds004998,original_frozen_matched_pool,two_feature_beta_plus_slope,STN beta power + aperiodic slope,stn_broad_beta_power+stn_aperiodic_slope,cosine,34,0.4117647058823529,0.6176820728291317,0.7647058823529411,0.8823529411764706,0.7334818775995247,2.5294117647058822,2.0,20,-0.2748843104528226,full_v2A,0.8529411764705882,0.8958333333333333,-0.4411764705882353,-0.2781512605042016
