feature_group,distance_metric,metric,observed,bootstrap_mean,ci_lower_95,ci_upper_95,n_bootstrap,seed,bootstrap_unit
MEG_motor_power_features,cosine,mean_margin,-0.16092778738485947,-0.16160574038531564,-0.3852683024761649,0.024426250086018956,5000,42,subject
MEG_motor_power_features,zscored_euclidean,mean_margin,-0.15214751879034266,-0.1520341910013637,-0.5033314937936113,0.1412488678864441,5000,42,subject
STN_features,cosine,mean_margin,0.048537804650331466,0.04812942584931549,-0.12610782084665678,0.20800318815838392,5000,42,subject
STN_features,zscored_euclidean,mean_margin,-0.8797690243115818,-0.8756762262878388,-2.6319714783786115,0.5765939274799105,5000,42,subject
all_v2_features,cosine,mean_margin,0.10184091043344143,0.10273388438425607,-0.05547254523359212,0.25942498551142895,5000,42,subject
all_v2_features,zscored_euclidean,mean_margin,0.059935473322656745,0.053330353667365354,-1.6289523533555483,1.6062462730730338,5000,42,subject
compact_aperiodic_residual,cosine,mean_margin,0.08465569741164701,0.08266843458873753,-0.08242179791043881,0.2329717217408658,5000,42,subject
compact_aperiodic_residual,zscored_euclidean,mean_margin,0.07960990631147355,0.07563137529356256,-0.6862946576350198,0.7897672570919595,5000,42,subject
coupling,cosine,mean_margin,0.05864234033035598,0.06005551135154171,-0.10510204319869604,0.23387891998271634,5000,42,subject
coupling,zscored_euclidean,mean_margin,-0.4113160123795661,-0.40005776847555824,-1.9121399099643728,0.8848900131659896,5000,42,subject
raw_beta_gamma_power,cosine,mean_margin,-0.23928976933202792,-0.24363534003337287,-0.5460614884075702,0.010511250954066973,5000,42,subject
raw_beta_gamma_power,zscored_euclidean,mean_margin,-0.8561574313367358,-0.8514227639194861,-1.894153364453205,0.12777700584661006,5000,42,subject
v2A_compact_rerank_features,cosine,mean_margin,0.08465569741164701,0.08433297545912183,-0.07468516375962625,0.2325912875684629,5000,42,subject
v2A_compact_rerank_features,zscored_euclidean,mean_margin,0.07960990631147355,0.07919990978033543,-0.6945940446260035,0.8014204721459618,5000,42,subject
