removed_subject,n_pairs_remaining,n_subjects_remaining,collapse_flag,collapse_rule,v2B_top1_drop_from_observed,v2B_mrr_drop_from_observed,v2_reference_top1,v2_reference_mrr,v2A_top5_aperiodic_rerank_top1,v2A_top5_aperiodic_rerank_mrr,v2B_gated_aperiodic_top5_top1,v2B_gated_aperiodic_top5_mrr,delta_top1_v2A_minus_v2,delta_mrr_v2A_minus_v2,delta_top1_v2B_minus_v2A,delta_mrr_v2B_minus_v2A
sub-0cGdk9,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.006348042638365192,0.7419354838709677,0.8379416282642088,0.8387096774193549,0.8863287250384024,0.8387096774193549,0.8863287250384024,0.09677419354838712,0.048387096774193616,0.0,0.0
sub-2IU8mi,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.003659870595354442,0.7419354838709677,0.8352534562211982,0.8387096774193549,0.8890168970814132,0.8387096774193549,0.8890168970814132,0.09677419354838712,0.053763440860215006,0.0,0.0
sub-2IhVOz,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,-0.021301726946888255,0.8709677419354839,0.9354838709677419,0.8387096774193549,0.9139784946236559,0.8387096774193549,0.9139784946236559,-0.032258064516129004,-0.021505376344086002,0.0,0.0
sub-AB2PeX,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.0009716985523436916,0.7741935483870968,0.8470814132104454,0.8387096774193549,0.8917050691244239,0.8387096774193549,0.8917050691244239,0.06451612903225812,0.044623655913978544,0.0,0.0
sub-AbzsOg,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.003659870595354442,0.7096774193548387,0.8164362519201229,0.8387096774193549,0.8890168970814132,0.8387096774193549,0.8890168970814132,0.12903225806451613,0.07258064516129026,0.0,0.0
sub-FIyfdR,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.04203323558162275,0.020364939719778485,0.6774193548387096,0.8008064516129032,0.8064516129032258,0.8723118279569891,0.8064516129032258,0.8723118279569891,0.12903225806451613,0.07150537634408594,0.0,0.0
sub-FYbcap,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.006348042638365192,0.7096774193548387,0.8148233486943163,0.8387096774193549,0.8863287250384024,0.8387096774193549,0.8863287250384024,0.12903225806451613,0.07150537634408616,0.0,0.0
sub-PuPVlx,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,-0.022482893450635366,-0.012469161662710171,0.7419354838709677,0.8406298003072197,0.8709677419354839,0.9051459293394778,0.8709677419354839,0.9051459293394778,0.12903225806451613,0.06451612903225812,0.0,0.0
sub-QZTsn6,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,-0.022482893450635366,-0.00978098961969931,0.7741935483870968,0.8540706605222733,0.8709677419354839,0.9024577572964669,0.8709677419354839,0.9024577572964669,0.09677419354838712,0.048387096774193616,0.0,0.0
sub-VopvKx,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.004235907461713984,0.7096774193548387,0.8185483870967742,0.8387096774193549,0.8884408602150536,0.8387096774193549,0.8884408602150536,0.12903225806451613,0.0698924731182794,0.0,0.0
sub-dCsWjQ,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,-0.05474095796676437,-0.04549527533398501,0.7741935483870968,0.868279569892473,0.9032258064516129,0.9381720430107526,0.9032258064516129,0.9381720430107526,0.12903225806451613,0.06989247311827962,0.0,0.0
sub-gNX5yb,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.006348042638365192,0.7096774193548387,0.8148233486943164,0.8387096774193549,0.8863287250384024,0.8387096774193549,0.8863287250384024,0.12903225806451613,0.07150537634408605,0.0,0.0
sub-hnetKS,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,-0.022482893450635366,-0.00978098961969931,0.7096774193548387,0.8164362519201229,0.8709677419354839,0.9024577572964669,0.8709677419354839,0.9024577572964669,0.16129032258064513,0.08602150537634401,0.0,0.0
sub-i4oK0F,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.006924079504724623,0.7096774193548387,0.8158602150537635,0.8387096774193549,0.885752688172043,0.8387096774193549,0.885752688172043,0.12903225806451613,0.06989247311827951,0.0,0.0
sub-iDpl28,32,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.004734848484848508,0.0033538510101009944,0.71875,0.8200520833333333,0.84375,0.8893229166666666,0.84375,0.8893229166666666,0.125,0.06927083333333328,0.0,0.0
sub-jyC0j3,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.004235907461713984,0.7096774193548387,0.8185483870967742,0.8387096774193549,0.8884408602150536,0.8387096774193549,0.8884408602150536,0.12903225806451613,0.0698924731182794,0.0,0.0
sub-oLNpHd,31,16,False,v2B_top1_drop>=0.25 or v2B_mrr_drop>=0.20 or v2B_top1<=0.50,0.009775171065493637,0.006924079504724623,0.7096774193548387,0.8158602150537635,0.8387096774193549,0.885752688172043,0.8387096774193549,0.885752688172043,0.12903225806451613,0.06989247311827951,0.0,0.0
